Iteration	CNR	SSIM
input_image	1.37956847316	0.0862354521632
0	0.00505982075274	0.00291653666055
1000	0.0263663258798	0.00554534629215
2000	3.77363393602	0.219578877411
3000	6.80703812413	0.516195160295
4000	5.40237899522	0.52555981178
5000	4.63769557425	0.442676155113
6000	3.52746422471	0.341230629207
7000	2.72680729173	0.252511180187
8000	2.33108554533	0.195239079493
9000	1.90077050121	0.156108744259
10000	1.75690734343	0.131566744239
11000	1.62694159987	0.114739106568
12000	1.56305751907	0.104428482021
13000	1.51468618313	0.0979137145304
14000	1.45084407529	0.0951653513954
15000	1.44711345125	0.0915645532812
16000	1.46235390835	0.0903256526174
17000	1.41712368664	0.0892387243157
18000	1.40751317999	0.0882609257275
19000	1.42319791591	0.0879935155277
20000	1.37924676886	0.0867919162463
21000	1.38705201619	0.0869664819545
22000	1.39736136495	0.0871925407305
23000	1.39035311239	0.0864873937207
24000	1.40954859632	0.0860352742432
25000	1.38169641604	0.0867640979505
26000	1.41454208016	0.0859762177745
27000	1.38996338805	0.0854107059345
28000	1.38691230829	0.0857559782432
29000	1.38485524407	0.0851316828611
30000	1.3923794242	0.0851176651882
31000	1.38995613369	0.0852083060509
32000	1.39044749027	0.0845749265557
33000	1.38199661263	0.0843649273089
34000	1.38060406994	0.0841535633251
35000	1.39418305649	0.0845988065835
36000	1.40748426395	0.0844981348184
37000	1.39735186642	0.0845055192665
38000	1.37942536	0.0843832824712
39000	1.37217423423	0.0845988600929
40000	1.38509216126	0.0844139712756
41000	1.37663843538	0.0844083949771
42000	1.38898293486	0.0846694990226
43000	1.39105389078	0.084598642145
44000	1.38254480446	0.084715182828
45000	1.39473419649	0.0844446887813
46000	1.3706555989	0.0846083855455
47000	1.37766818201	0.0842314129888
48000	1.39132780079	0.0847669325878
49000	1.4066802944	0.0841946201194
50000	1.38710306352	0.084074385009
