PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	60.51271348681559	N/A
0	257.40234375	0.0066047884313	-0.00272901189005
1000	0.765983104706	44.317418399	0.11143033866
2000	0.715632379055	86.5555407858	0.16119564734
3000	0.679023563862	164.241519088	0.17798068432
4000	0.645886540413	293.29246938	0.157294009918
5000	0.611337721348	401.837792332	0.180239221517
6000	0.575962603092	459.363290465	0.200668412777
7000	0.539336919785	863.542601625	0.112265162928
8000	0.496587902308	981.100658496	0.130129427063
9000	0.450383245945	2148.02803886	0.08250110334
