PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	61.93278504063975	N/A
0	100.949440002	0.0106026049476	-0.00410965610142
1000	0.732637345791	600.718797473	0.110769595613
2000	0.688088297844	1508.61062174	0.0990710623149
3000	0.653851687908	2876.31800097	0.0586989154146
4000	0.61426115036	2155.9387006	0.0828079356414
5000	0.576773643494	2473.56632077	0.0933454981725
6000	0.53933519125	4718.52900084	0.0417329193347
7000	0.490790396929	2568.40281115	0.0601066990238
8000	0.439149290323	2800.50438544	0.0559606979765
9000	0.382394015789	6414.38280753	0.0415680293167
