Iteration	CNR	SSIM
input_image	1.37956847316	0.0862354521632
0	0.0177845603538	0.0034624796744
1000	0.0	0.00162635570519
2000	0.13928872178	0.204500786543
3000	3.61412510313	0.469983666829
4000	5.38717690955	0.466148109814
5000	0.238549643236	0.401584112081
6000	3.5628234038	0.515332737906
7000	4.68956229468	0.474953570982
8000	3.64780498954	0.373355431521
9000	2.91425719506	0.435159809727
10000	6.00755944206	0.564796578052
11000	6.67335568499	0.587624331606
12000	6.25800612218	0.564600654349
13000	5.89707759954	0.560620732306
14000	5.71563270592	0.559676038369
15000	5.97424453332	0.57097597831
16000	2.76026282279	0.316776062013
17000	6.00356424061	0.577684518389
18000	4.94483873484	0.563312306348
19000	5.50073136358	0.565365951545
20000	5.46515169863	0.567022672591
21000	5.14781345307	0.559867881394
22000	4.96680553663	0.555502253902
23000	4.83437070671	0.549014439241
24000	4.79783399366	0.551975990635
25000	4.6164753827	0.539815651073
26000	4.57668690276	0.542589564739
27000	4.4334354294	0.534070864776
28000	4.26851617111	0.521693887335
29000	4.11636889261	0.510533767207
30000	3.99024122469	0.491169956001
31000	3.83004877625	0.475349891707
32000	3.77051891262	0.458214230502
33000	3.69280963617	0.441995077212
34000	3.5144887272	0.431170389784
35000	3.50024624909	0.417504177812
36000	3.43691293358	0.408815413894
37000	3.31675527966	0.399568252405
38000	3.36254581646	0.387763468746
39000	3.31173502407	0.379580202054
40000	3.22334195351	0.368447122496
41000	3.20997591393	0.360438949318
42000	3.19634574252	0.355028887677
43000	3.19647396749	0.35596705956
44000	3.14694507419	0.342570827914
45000	3.07064417568	0.343139207815
46000	3.05685643717	0.344690725884
47000	3.07159891198	0.337255527813
48000	3.04920497069	0.34062121879
49000	3.01444851337	0.325222859939
50000	3.07737398395	0.329787076485
