Iteration	CNR	SSIM
input_image	1.92219800788	0.0766595824368
0	0.0220284618944	0.00328338433343
1000	0.0	0.00137159970104
2000	0.0	0.00139331826069
3000	2.63795488506	0.360237169081
4000	9.72325519762	0.555539452004
5000	11.026136824	0.555119233691
6000	11.0924995139	0.553356252453
7000	1.86787188496	0.366785880741
8000	1.52708477739	0.378472883665
9000	10.701424212	0.56031880731
10000	10.5950576865	0.55164778024
11000	11.1405543654	0.548200706619
12000	11.0398960269	0.549905662694
13000	10.6237713429	0.546150104845
14000	10.7829622297	0.548824882357
15000	11.378101027	0.55489780108
16000	11.1957758536	0.554756166741
17000	10.6982183407	0.549069150258
18000	11.0746279531	0.543931206273
19000	4.29127316875	0.344305302329
20000	11.1802658019	0.551942331352
21000	10.7636292191	0.549381614855
22000	11.1212183121	0.547973248213
23000	10.5906178087	0.541879113834
24000	11.1917476734	0.546391847578
25000	11.1140995174	0.550088340432
26000	11.1002932825	0.548273491873
27000	10.7236268278	0.537892600829
28000	10.884837057	0.543686610197
29000	0.926466174842	0.339741362726
30000	0.410179793967	0.342173204294
31000	1.47164525564	0.34117581458
32000	2.96049302156	0.345245434293
33000	3.96683933008	0.331048952331
34000	15.4167627644	0.463282454817
35000	16.0155655558	0.474450838952
36000	16.020962648	0.469274450974
37000	12.2057925398	0.474370458052
38000	8.09987386007	0.388221116789
39000	9.34990925344	0.482310464651
40000	10.1152554137	0.480811993021
41000	10.4762526965	0.479512476524
42000	10.5744439154	0.46455100834
43000	1.24950900582	0.465662993551
44000	1.45762680568	0.46008214041
45000	0.866868656168	0.390222421878
46000	1.35911572708	0.475949038482
47000	12.8789265009	0.480518697594
48000	11.1928599538	0.520160235632
49000	10.5933320018	0.538792571213
50000	10.4782155965	0.545895409059
