Iteration	CNR	SSIM
input_image	1.94445131804	0.0696765316275
0	0.180299199308	0.244647038537
1000	0.660451446973	0.16466482574
2000	1.13427840447	0.191344852855
3000	1.42679600565	0.222769871918
4000	1.70387160094	0.263121578109
5000	1.9678163989	0.284313778678
6000	2.27500086036	0.309818206018
7000	2.64271249517	0.338332313997
8000	3.06406377525	0.353314786965
9000	3.6190787566	0.374966049899
10000	4.45897521707	0.384248830554
11000	5.17402319374	0.402735418809
12000	5.75610174646	0.418296399824
13000	6.24275913629	0.436644632486
14000	6.59639289741	0.446506921787
15000	6.85438681427	0.457623985996
16000	7.02781484583	0.464081295816
17000	7.12848634115	0.470137932663
18000	7.21035737116	0.474290747242
19000	7.26964388439	0.475996784923
20000	7.39468623267	0.477787840338
21000	7.41530797523	0.478825204718
22000	7.39371396923	0.480011761852
23000	7.45468504784	0.48162875857
24000	7.5279665273	0.483103826843
25000	7.5639674006	0.483958119422
26000	7.68644106902	0.484923626165
27000	7.67047304364	0.485838026365
28000	7.66263889624	0.486789521593
29000	7.67085969183	0.48651722214
30000	7.69583784419	0.487496908814
31000	7.7244406319	0.48823326163
32000	7.82643422477	0.488567315323
33000	7.76791077474	0.488582415198
34000	7.81358651186	0.489135784935
35000	7.84184844322	0.488624033775
36000	7.87964136634	0.488728125952
37000	7.86964123179	0.488617285413
38000	7.94921987066	0.489577885498
39000	7.96565732671	0.490105436775
40000	8.00884412134	0.489727971595
41000	7.99928437192	0.490704607333
42000	8.00309171186	0.490187558952
43000	8.05208784962	0.48986298956
44000	8.0360473332	0.488185325269
45000	8.04169221282	0.488427886076
46000	8.06878520397	0.488751523719
47000	8.07925944583	0.489573665851
48000	8.10142453412	0.489395818727
49000	8.14542635278	0.489016084261
50000	8.19882176669	0.488881632342
