PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	60.03577203152088	N/A
0	89.5773239136	0.011157916458	0.0326351858479
1000	0.739533543587	155.002228729	0.103782712403
2000	0.707844436169	468.795274944	0.0527382267143
3000	0.654099285603	652.117868887	0.110709220538
4000	0.617121398449	955.874812607	0.110707067302
5000	0.589320778847	395.670392906	0.0570263358282
6000	0.541146636009	1545.31135508	0.111609004612
7000	0.496235340834	1762.80843831	0.114420500364
8000	0.468587398529	1966.74607558	0.0164238246347
9000	0.399148494005	2930.76554192	0.0532742229302
