PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	65.32229117118179	N/A
0	62.6782264709	0.0152997149396	0.0146007162101
1000	0.739519357681	202.995052744	0.0881310546782
2000	0.686211466789	353.799809729	0.0785214171494
3000	0.644575893879	666.919403768	0.0719671908948
4000	0.617014944553	1016.94217154	0.0424953269642
5000	0.56475508213	1290.7417264	0.0822478472148
6000	0.520922482014	1520.90635236	0.0613277774557
7000	0.470132946968	1826.61129065	0.079310880046
8000	0.412649989128	1995.87892985	0.0902826247572
9000	0.361280471087	6815.07856897	0.0166916839357
