PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	62.09661178643437	N/A
0	437.572662354	0.0042846317146	0.00223553489074
1000	0.775769531727	72.1864547128	0.103050111695
2000	0.740201830864	156.697514215	0.125208479661
3000	0.71051722765	324.884307477	0.132426401553
4000	0.685340702534	367.355183849	0.0809776953066
5000	0.653591156006	664.867917603	0.0972253142983
6000	0.621055006981	899.589504653	0.110357255594
7000	0.595966875553	1413.50506459	0.0509621601258
8000	0.549182474613	1602.76420006	0.0771544504718
9000	0.504842638969	2217.4945237	0.080539651563
