PARAMETERS
Network: unet
Loss: mse_l1
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 50000

w_h: None
w_v: None
w_mse: None

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	60.2895413446	1.92089590447	0.0760067136466
0	1.20137166977	6.33422149379	0.00976906979706	0.00420141774193
1000	0.464622735977	41797307.1337	0.0	5.44297983856e-05
2000	0.18310533464	2558.10944867	9.29909780366	0.34187979635
3000	0.120758101344	1203.22966858	0.0854648070508	0.0747931458532
4000	0.0800773352385	7157.77915064	0.386671974357	0.0944870755156
5000	0.0514936931431	4902.41111372	9.70306828894	0.35939065967
6000	0.040726184845	3509.94849196	8.48107296997	0.376963094801
7000	0.0412130020559	3263.2981454	3.03289895912	0.282575182548
8000	0.0332513265312	3275.7762555	7.11739378621	0.379169899496
9000	0.0314506813884	2839.97772579	7.08436285146	0.406403675181
10000	0.0303785707802	3051.68021999	7.01856254965	0.416307594154
11000	0.029687140137	3175.04895796	6.89394415378	0.430800007455
12000	0.0291924830526	3037.53843327	6.7299732329	0.434367955734
13000	0.0287912730128	2783.84582521	6.56779651555	0.433067640321
14000	0.0283934641629	2839.59288558	6.38158122239	0.437004307173
15000	0.0279557947069	2476.0196233	6.13720067242	0.430607384023
16000	0.0349829867482	2225.77611696	10.5111944981	0.304364788896
17000	0.0278539769351	2307.20171802	5.96882932198	0.428335029843
18000	0.0279024280608	2273.2027961	5.73126663186	0.427164915282
19000	0.0274114236236	1834.58186882	5.96862324433	0.415026801979
20000	0.0272844228894	1668.92428406	5.92581909427	0.407035254201
21000	0.0271308030933	1686.39822639	5.67925187495	0.410204807236
22000	0.032958637923	606.658556502	3.21344763745	0.257935253095
23000	0.0276641584933	2136.98250824	6.44620238332	0.457675966699
24000	0.0273159388453	1736.26535096	6.16019055311	0.446368189501
25000	0.0270315688103	1675.00934178	5.91127859202	0.438198365678
26000	0.0268862228841	1591.85988734	5.79487726405	0.430576471485
27000	0.0269171856344	1636.68519065	5.50018548885	0.429188318868
28000	0.0267437882721	1488.25497304	5.42626838672	0.417182251567
29000	0.0375406704843	2365.87313923	1.63314543049	0.150730854154
30000	0.0407632626593	69108.7126833	0.312277776931	0.0941524469285
31000	0.0303670261055	7518.81360362	8.50243572067	0.355177375168
32000	0.028474105522	3988.73040064	7.57881082581	0.414755517199
33000	0.0277839358896	3235.83853894	7.06542820368	0.433048374267
34000	0.0273225922137	2454.84369246	6.25161536411	0.43763011864
35000	0.028561167419	1540.28259978	5.18875190202	0.390271277989
36000	0.0429282896221	20929.8776871	0.508435853401	0.0577735986621
37000	0.0289588533342	3760.504438	7.80192950677	0.383641699017
38000	0.0276953279972	3410.4503863	7.05732964587	0.436006169546
39000	0.0273003317416	3371.89532892	6.51739167029	0.443183619949
40000	0.0270384401083	2893.38504508	6.50429864351	0.43651685773
41000	0.0268682576716	2917.86784762	6.40818086387	0.431785262816
42000	0.0267550088465	2435.14106714	6.2032973622	0.432328190761
43000	0.0266735367477	2091.83967827	6.21428508141	0.410633544478
44000	0.0263898596168	1923.94903904	5.97944097708	0.409862521283
45000	0.0264048073441	1646.42186924	5.99388474798	0.392830689323
46000	0.0286686234176	15265.5605541	8.38275890939	0.391143899397
47000	0.0268267467618	2206.53143758	6.48313948036	0.425639016875
48000	0.0265164282173	1611.07340766	5.9753521564	0.406300443448
49000	0.0262800455093	1605.10040114	5.73899947194	0.413275965661
50000	0.0262696836144	1365.68841904	5.88012295658	0.39254686263
