PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	72.82287936973667	N/A
0	204.176101685	0.00468211038181	0.0253090500995
1000	0.756886839867	65.2689565896	0.100099479336
2000	0.71436214447	149.900945818	0.106169080671
3000	0.677509486675	251.189565407	0.137736627572
4000	0.645423650742	379.847037308	0.145066835565
5000	0.612360596657	722.359760605	0.0838730667526
6000	0.576121687889	1133.81921953	0.100104828132
7000	0.536294639111	1290.59792881	0.109284396073
8000	0.491387456656	1640.26117434	0.110736194044
9000	0.440269231796	1272.49872908	0.125205843642
