Iteration	CNR	SSIM
input_image	1.3795684731628368	0.08623545216323848
0	0.010838108458301698	0.05425518279850574
1000	0.0	0.001580656997691168
2000	3.8730395659600996	0.46858437575444706
3000	8.09523450659329	0.5629049654205649
4000	7.466759975519088	0.563532877206471
5000	7.865115155863392	0.5682840193457596
6000	8.206644241572494	0.5687224452439691
7000	8.304837162113152	0.5246518706945598
8000	5.954936601449068	0.5772930942250375
9000	5.306027968247209	0.5781873871189211
10000	5.156713846084817	0.5735672208413606
11000	4.42166583287081	0.5331335653823275
12000	4.280065620892903	0.5021408085449963
13000	4.165384466977646	0.47846437439126366
14000	3.9713212437271803	0.45693134845007427
15000	7.371942402757872	0.517302744408387
16000	5.182615221831952	0.5570813244238014
17000	4.894640412448251	0.548177152052125
18000	4.366381201923297	0.5095551708057056
19000	4.891670405070515	0.5345899227227477
20000	4.32013352084112	0.5053228446699348
21000	4.740971301983043	0.5444568010035582
22000	4.463034363859862	0.5152678924011579
23000	4.354305334991175	0.5052592916219376
24000	4.552118234246012	0.5130507736611095
25000	4.104353046854645	0.4732152316461228
26000	4.635551281018714	0.5131801988994831
27000	4.087700710701457	0.47481012813490353
28000	3.8538659192352878	0.46960963134321965
29000	4.549062598657042	0.48851482088971276
30000	4.253000542169884	0.46174323803547807
31000	3.904078307176007	0.4542048149527525
32000	3.8994033542126934	0.42194734378241655
33000	3.745435808121791	0.4226081589677219
34000	3.7314870863271445	0.410720312432846
35000	6.7159610199929825	0.5611062495501126
36000	4.092048782183291	0.409930881380804
37000	4.156512626793049	0.48084090773526444
38000	4.009011980842104	0.46169479667764984
39000	3.833972881875289	0.45391627365997783
40000	3.9379760481147903	0.41816516636721507
41000	3.926815289971944	0.40844932281978724
42000	3.712487548316833	0.4166227799289431
43000	6.032875185642972	0.5084614228453297
44000	4.416935651056491	0.49459022281706544
45000	4.155193256193581	0.4571974242973383
46000	3.9699566688667836	0.4396565542541511
47000	3.864450010161007	0.42632372457338125
48000	3.785547818885269	0.42127391066737935
49000	3.7712185116156736	0.4127054852461078
50000	3.7973380899092017	0.40172281185403386
