Iteration	CNR	SSIM
input_image	1.37956847316	0.0862354521632
0	0.351528184872	0.324733866797
1000	0.656595054639	0.141604364772
2000	1.06859832667	0.199404756827
3000	1.38575136851	0.215429715094
4000	1.69417045408	0.245432175029
5000	1.9382291919	0.262084647843
6000	2.19244719055	0.289137465669
7000	2.54407044929	0.313746041967
8000	2.89096118017	0.328849108469
9000	3.13693906417	0.366172562161
10000	3.32857010623	0.362646046334
11000	3.47314291217	0.371657654765
12000	3.59315674628	0.38505063646
13000	3.63606293587	0.39070939867
14000	3.63565659883	0.393509430897
15000	3.60495765531	0.401807738837
16000	3.60231399228	0.402882111741
17000	3.6358234412	0.406774270588
18000	3.64420256113	0.404140584207
19000	3.65908689229	0.407659375302
20000	3.67030930446	0.409896559681
21000	3.68646075223	0.407127626631
22000	3.70734129297	0.409291901536
23000	3.70122251648	0.409714724973
24000	3.69352930583	0.410819316278
25000	3.67592956849	0.408346035417
26000	3.68608393339	0.408018321924
27000	3.67311209427	0.408532007065
28000	3.68202251164	0.406596753349
29000	3.69589799276	0.40552678374
30000	3.70178086615	0.406214204144
31000	3.71599344797	0.407546124941
32000	3.73026238648	0.408363227954
33000	3.72726155307	0.409678646582
34000	3.73401941666	0.408166565669
35000	3.71347748952	0.410757044743
36000	3.71879003134	0.413927732117
37000	3.71266533497	0.415319819683
38000	3.70702943185	0.414670939255
39000	3.71701495562	0.411133756531
40000	3.71774547001	0.411455548497
41000	3.72593994822	0.40902780267
42000	3.72170680815	0.409613404376
43000	3.71721819137	0.408567501059
44000	3.7333192462	0.410322416978
45000	3.72012268933	0.410989835585
46000	3.73983886255	0.412473283023
47000	3.7389781306	0.412935926306
48000	3.7567743452	0.41130730818
49000	3.75678932295	0.410324753235
50000	3.73363903915	0.40906443409
