Iteration	CNR	SSIM
input_image	1.37956847316	0.0862354521632
0	0.00421682875622	0.00292894451681
1000	0.0	0.00158517003372
2000	0.0	0.00159917770615
3000	0.606363503212	0.343374345896
4000	1.28431349256	0.437401796864
5000	3.63125964905	0.469027200935
6000	6.20595469192	0.449676829813
7000	7.87768541256	0.456528128275
8000	4.62110334591	0.458476819539
9000	6.5997983544	0.445608162284
10000	6.0148219481	0.440779412375
11000	7.24830638451	0.438376436823
12000	6.92634900136	0.438373020147
13000	6.98976479777	0.438391039451
14000	7.1701031591	0.434718655317
15000	6.5713380877	0.43023840744
16000	6.79068040174	0.43275428912
17000	6.60015164604	0.429750851769
18000	6.91814307805	0.432883874517
19000	6.99254502311	0.433011610154
20000	4.64596868677	0.445865090759
21000	6.49036340654	0.43398088016
22000	6.60432936798	0.432355071076
23000	6.36108099457	0.435212441323
24000	5.55142237334	0.435341084891
25000	5.36098076385	0.459551715635
26000	2.82538685992	0.519202647051
27000	5.27394737573	0.484739498565
28000	5.8348955824	0.461129006177
29000	5.29513041446	0.468753204028
30000	5.16859985356	0.47281182862
31000	5.20075185483	0.467941549295
32000	4.84368966222	0.473545932313
33000	4.79371749308	0.474160010714
34000	4.90510748767	0.477445952384
35000	4.85468748328	0.476018122203
36000	4.91274912985	0.476040241378
37000	4.61029413726	0.48288783999
38000	0.779541968609	0.453843044972
39000	9.87422706941	0.540296959267
40000	8.80169695898	0.532178053191
41000	9.66716484392	0.527925636872
42000	9.9079797156	0.523961237468
43000	9.15128375229	0.526344989218
44000	9.51646977745	0.527008412277
45000	9.07872343627	0.527199562836
46000	9.10255492849	0.524256695449
47000	9.13553348692	0.528247656871
48000	8.96902408724	0.528467284223
49000	9.06361373824	0.526677117599
50000	9.38720046012	0.528684484392
