PARAMETERS
Network: unet
Loss: mse_with_tv_reg
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 50000

w_h: 1e-06
w_v: 0.0
w_mse: 10.0

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	60.512676869	0.806825754957	0.0759556053674
0	3.87905526161	4.85957823408	0.017804693405	0.00394706643325
1000	1.77026557922	24720427.3939	0.0	3.39810035997e-06
2000	1.65731775761	40162315.9647	1.76489704621e-09	2.79013324082e-05
3000	0.534563064575	325.36346811	1.78391250588	0.091400509321
4000	0.449081033468	1158.19032745	3.1585702996	0.263212704877
5000	0.377740383148	2100.78061554	5.20377213278	0.272135978439
6000	0.320372730494	2647.01028155	5.76063998244	0.286501494445
7000	0.279416322708	2962.19126587	6.34295872854	0.287047233766
8000	0.257096499205	18680.8389664	7.15238228405	0.274247177121
9000	0.232605323195	3655.51735583	4.63100939324	0.295286699293
10000	0.200671359897	3693.68258509	2.58686479437	0.319827499555
11000	0.184215202928	5441.32330188	2.95089176123	0.345096509854
12000	0.176541015506	5929.42957839	3.17386481351	0.350521688964
13000	0.172081053257	5191.84839191	3.42411589456	0.359471252033
14000	0.171072125435	9184.76905661	3.49735769237	0.361345926194
15000	0.162957668304	6046.50507689	4.04440742599	0.385802178187
16000	0.162484258413	5718.22384673	3.95905109095	0.382216983662
17000	0.160680815578	5640.20940145	3.89569053718	0.382886002286
18000	0.159243583679	5343.37458531	3.80616015352	0.386602949869
19000	0.170014485717	6013.54414615	3.95758718002	0.297961398116
20000	0.164050325751	8188.79666497	4.83353955168	0.368263700318
21000	0.162037357688	7817.40339514	4.68089951217	0.382269220229
22000	0.22909834981	12283.5128374	8.62230100066	0.0587015613757
23000	0.225694224238	1223.32266016	5.25741046055	0.0692570752
24000	0.225719571114	2691.72857979	8.59150486985	0.0565157595642
25000	0.219910830259	4134.87327902	7.27761276526	0.243713663806
26000	0.218338787556	4100.03544021	7.7101928021	0.244455025556
27000	0.215490952134	2726.02069559	6.06369946685	0.284073590285
28000	0.224684074521	415.400313887	2.45787798085	0.126087224535
29000	0.214901804924	3574.86458089	6.80822651419	0.295757879936
30000	0.21630845964	2249.89350331	5.53038148796	0.246142014134
31000	0.292456775904	162121.08544	1.33918860534	0.0910070474935
32000	0.217573881149	1617.89670761	5.07235620978	0.163975207768
33000	0.215645641088	3241.3554393	6.84913587822	0.245068687147
34000	0.215560391545	2352.66771447	5.73304824114	0.247896072166
35000	0.222935304046	2827.91106058	2.24455407707	0.198611124204
36000	0.214051112533	4600.40175923	7.98151471911	0.254339729803
37000	0.163139939308	9656.11225968	5.68300674073	0.340534379731
38000	0.160589516163	7066.21833384	4.94808754055	0.37365078656
39000	0.161571353674	5669.89806295	5.0972610887	0.335090333575
40000	0.159412741661	5147.6805763	4.59457973614	0.363342696215
41000	0.161085963249	6442.89533403	4.92932527692	0.344469887795
42000	0.158447578549	4392.77856204	4.42822129905	0.380874820122
43000	0.157785028219	4060.8578528	3.85757737382	0.381192200903
44000	0.158886224031	4460.97947821	4.2454958014	0.384456502349
45000	0.15750734508	4276.29382254	4.01268466371	0.386439146623
46000	0.157859042287	4149.35053937	3.85903830912	0.382822004364
47000	0.15676163137	3402.75263034	3.60404911673	0.387998315201
48000	0.156072884798	2930.74433488	3.59994505116	0.381462755711
49000	0.155385077	2466.11204608	3.30881666774	0.378150673039
50000	0.155457064509	2304.33354948	3.30929573083	0.385435336768
