PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 50000

w_h: None
w_v: None
w_mse: None

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	59.471073112	0.595207314862	0.0881282719513
0	1.07535398006	5.39531333621	0.00897464386025	0.0040682262912
1000	0.283577948809	2596.86136657	1.30066065532	0.0907185633516
2000	0.133545577526	7399.9732803	2.61730096549	0.102781859875
3000	0.0665705427527	5204.80622554	1.87450125207	0.39310173141
4000	0.0407082028687	3709.60890484	1.80349796005	0.41503636973
5000	0.0423404872417	12378.0750323	0.0282298317043	0.0272392941422
6000	0.0655505806208	8156.32861117	0.811161321437	0.249967444256
7000	0.0258107408881	4399.83131329	2.22321109629	0.408716480044
8000	0.0233212839812	5560.58781428	2.3610069966	0.439745919162
9000	0.0214426554739	5410.04962247	2.19552551227	0.460226514438
10000	0.0201068371534	6785.84757759	2.17965349772	0.469089945056
11000	0.0190523769706	5971.82611058	2.20139697782	0.476170967483
12000	0.0183077305555	6216.27246109	2.11856813644	0.484290034995
13000	0.017858190462	6781.77238773	1.98373427132	0.48936640966
14000	0.0174468476325	6661.02761917	2.05295646611	0.488467006742
15000	0.0173137784004	6215.8377386	1.88925481752	0.476702191508
16000	0.0170763731003	5856.33711074	1.83571432039	0.489778427974
17000	0.0168870203197	6621.24012168	2.07117044895	0.503296971871
18000	0.0168185904622	6046.90623451	2.04986258047	0.502127988236
19000	0.0264571812004	24954.7135393	0.105563948015	0.0787192378332
20000	0.0260308664292	43342.0320746	0.14719671057	0.0566777316554
21000	0.0178727600724	16484.8990182	2.16677612427	0.397618493267
22000	0.0250355042517	30416.6103707	1.8506876667	0.0789271752013
23000	0.0174770392478	5036.43929973	2.73655332195	0.403180563768
24000	0.026416933164	48585.9849434	0.102108111805	0.0807646034347
25000	0.0174966733903	4437.469367	2.43402051015	0.387889449586
26000	0.0171480793506	11652.0272062	2.92091984561	0.39789040071
27000	0.0261064656079	24396.9503839	0.133859494227	0.0733830966254
28000	0.025594888255	6226.6854837	0.267273727201	0.080154767643
29000	0.0252361372113	2223.46900467	0.32152106307	0.0909529187973
30000	0.024573892355	696.170085996	0.342976235204	0.113446281998
31000	0.0238320808858	378.947177232	0.412514542332	0.119013134615
32000	0.0274115037173	1320.5847867	0.260152209203	0.0883407786408
33000	0.0223870035261	323.058027109	0.510507271213	0.141824074882
34000	0.0216836035252	330.797682369	0.561856536253	0.156001191854
35000	0.0207684636116	412.729322596	0.609266921674	0.183247170988
36000	0.0199141353369	449.433494633	0.66232681584	0.206013884518
37000	0.133247181773	1886972.76255	0.040849204893	1.12365505822e-09
38000	0.0258797910064	2311.47573689	0.363142068561	0.0916666536723
39000	0.0243930015713	576.390197807	0.395367981126	0.126533277494
40000	0.0211299695075	508.334617252	0.595693241048	0.209360230644
41000	0.0195003915578	605.951886687	0.641148584313	0.250562550141
42000	0.0189626589417	667.172874425	0.679117619936	0.263571553099
43000	0.0185858421028	620.386702618	0.730999334429	0.259037900904
44000	0.0182718019933	721.785445835	0.761777123839	0.274670349807
45000	0.0179531108588	681.38055598	0.79858096778	0.271412530023
46000	0.133397504687	713950.395584	0.0	5.39174954219e-11
47000	0.0267891399562	28332.8846465	0.0897313828084	0.0168545814344
48000	0.0264221727848	1276.11970682	0.283525707077	0.138385880742
49000	0.0247038733214	505.118649125	0.515064209075	0.124452911253
50000	0.0225146394223	353.364624929	0.585056051597	0.157813457051
