Iteration	CNR	SSIM
input_image	1.87170265548	0.0696765316275
0	0.0148188551788	0.00326697059089
1000	0.0	0.00101530557906
2000	0.0	0.00101550138729
3000	1.28898988973	0.338685787551
4000	5.71382275474	0.452844702569
5000	9.53424139478	0.478058106488
6000	4.43082015429	0.379035691365
7000	9.10782353711	0.471458706656
8000	8.70646340336	0.438133191027
9000	5.78937334223	0.35300747652
10000	8.39789248199	0.409763537424
11000	8.58176286408	0.4392570272
12000	0.0	0.0
13000	0.0	0.00101529140393
14000	0.755562490655	0.308780246544
15000	11.0152800149	0.516170086084
16000	9.51371530826	0.521746143756
17000	11.0028073157	0.527838080462
18000	10.1103811818	0.529582321567
19000	10.3305730784	0.530430965175
20000	10.6129685908	0.528363850178
21000	9.82626210851	0.534058992177
22000	9.61693812942	0.528350819261
23000	9.19186721963	0.533746967982
24000	7.89152189446	0.365041231571
25000	8.78351503329	0.534987548916
26000	9.1179354485	0.532384348122
27000	9.06408535896	0.524445121282
28000	8.40765560114	0.519046589737
29000	8.29536111665	0.520911076401
30000	8.19153972138	0.520631981093
31000	7.91217228655	0.52804549293
32000	7.68801861824	0.526170082681
33000	7.41569982689	0.515710983918
34000	7.25810769377	0.511729602002
35000	7.14005402473	0.506539329528
36000	7.0206648188	0.501302375084
37000	7.1133030637	0.507805316261
38000	6.86715342036	0.496915889403
39000	6.61826589762	0.486087133121
40000	6.54341241676	0.484512735197
41000	6.31372291402	0.472878485841
42000	6.12025269281	0.459209730921
43000	5.9374432069	0.446647512229
44000	9.56883780241	0.532136562785
45000	8.08217781896	0.535570750625
46000	7.43415647197	0.527294471652
47000	7.31765457692	0.524952049634
48000	7.19616116361	0.517522332732
49000	7.13400688315	0.509605723612
50000	6.94277891761	0.507125819057
