PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	53.66483102808955	N/A
0	137.400482178	0.00756645994831	0.0169728276836
1000	0.749493300915	137.312432698	0.108217863863
2000	0.708458304405	300.179640606	0.135938467678
3000	0.674706757069	479.842688158	0.130472934829
4000	0.65169095993	709.758383847	0.0557339725572
5000	0.608478009701	1002.94810516	0.109017840315
6000	0.572133004665	1100.28996409	0.128918354349
7000	0.531964957714	1193.02476469	0.146668479823
8000	0.487307429314	1791.83264197	0.109762314026
9000	0.447027474642	2046.56619006	0.0322334858649
