Iteration	CNR	SSIM
input_image	2.0643501731706784	0.08061437291888236
0	0.02298867216628685	0.00880663365754241
1000	0.03878720767779974	0.23263097683353634
2000	7.5226114622812155	0.46283393431539077
3000	7.733964300996953	0.45270226281545806
4000	8.208553927871746	0.4777078212296523
5000	7.038876023845129	0.4555407820600647
6000	0.3695839379779098	0.18671643009879368
7000	5.959633474239138	0.411620763090618
8000	5.361257714610155	0.3605696672252506
9000	5.758449072288498	0.32472848658667774
10000	4.287396111938257	0.25792053246204594
11000	3.879915990022496	0.22337360208712156
12000	3.665611618385199	0.20450877871217502
13000	3.6224323345420366	0.1919179195008688
14000	3.5570039200900574	0.18428667142596553
15000	3.5133337689443906	0.17848629527224213
16000	3.3793183480037894	0.17227447329994852
17000	3.2326324310208534	0.16336267161506957
18000	3.231226217440689	0.1555765807611808
19000	3.1834386071719614	0.14960430363383212
20000	3.161408783672064	0.14617275566840926
21000	3.115358377874385	0.14116997618546664
22000	3.0716462812050116	0.1384985052479265
23000	3.074039495894623	0.13797446108020903
24000	3.034999015351147	0.13630589692109973
25000	3.0390989966726343	0.13406400860403464
26000	2.999617229535676	0.13222510657389278
27000	3.0182283604369147	0.13089504902521176
28000	2.964145387683738	0.1287345547850477
29000	2.9863364543759383	0.12882153345519518
30000	2.997939991921063	0.12756965355635863
31000	2.99045966142819	0.1268910355871269
32000	2.9098536980132352	0.12477634130994547
33000	2.9174157362666846	0.1248751301374033
34000	2.8943709093241123	0.12337644724082966
35000	2.919551789970655	0.12286210983169112
36000	2.882252846645748	0.12144953985768031
37000	2.8961277278844118	0.12199325794655613
38000	2.889153113458704	0.12208215185321444
39000	2.9020770097290063	0.12052232027987886
40000	2.8767928293485405	0.11983530970508789
41000	2.8637156775745	0.12005627575304105
42000	2.85338537694024	0.11942176669490913
43000	2.8729279571517354	0.11945737329085486
44000	2.8544681125790126	0.11920919169232184
45000	2.856112366903174	0.11809416362055757
46000	2.807815877655499	0.11780221699031682
47000	2.8606603120429135	0.1190802070530786
48000	2.8665100741203666	0.1184803099647742
49000	2.8058996683038275	0.11700734096345597
50000	2.8061952427707335	0.1165268719406306
