PARAMETERS
Network: unet
Loss: mse_with_tv_reg
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 50000

w_h: 1e-06
w_v: 0.0
w_mse: 10.0

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	53.664802229	1.94882491288	0.0699389908164
0	4.00392007828	5.04692195053	0.0220555243938	0.00386125647768
1000	2.04933476448	19321101.9039	0.0	1.71316012766e-06
2000	1.929251194	52061516.0465	1.36664936302e-23	6.76596528532e-05
3000	0.574081718922	166100.795595	3.5189054865	0.130583169407
4000	0.477973937988	686.048619018	5.65974218911	0.222237356286
5000	0.405972868204	2093.708334	8.58883777809	0.323391052741
6000	0.374448865652	2569.89972781	4.21656284846	0.116854104636
7000	0.327403664589	1853.31256626	8.44373335692	0.293503844884
8000	0.298872113228	2403.34683688	8.356938948	0.297763796593
9000	0.26637840271	2928.65882943	5.40398406445	0.280296658036
10000	0.224355995655	2917.2465827	7.09110752099	0.334465879581
11000	0.208732426167	3480.78544746	7.55846918444	0.377752219074
12000	1.55635797977	0.0	0.0	0.0
13000	1.55202209949	5.07954789342e-05	0.0	2.38952314724e-31
14000	0.300307303667	197210.072353	0.81078879487	0.0767679593426
15000	0.202432006598	6835.58257588	10.1797604189	0.354407003595
16000	0.199294954538	6001.17657938	8.76245200965	0.378744609114
17000	0.195511102676	5688.04752225	8.73388173588	0.4030799829
18000	0.193489000201	3984.51889704	9.32571781605	0.416202332622
19000	0.190382510424	4614.98643729	8.93427268335	0.415374993993
20000	0.188396111131	4937.95312015	8.81818706174	0.415638917219
21000	0.188169568777	4902.97637611	9.53630309896	0.401084930505
22000	0.185377463698	4727.23341042	8.32741363489	0.41857108644
23000	0.183517247438	4591.49824384	8.34378907342	0.417464503772
24000	0.258601933718	2989.88169733	9.35338242278	0.159415640587
25000	0.184558525681	4952.23311907	9.64485574418	0.416867981603
26000	0.182078406215	4877.43876345	9.37921930901	0.423220667115
27000	0.180208310485	4598.91722885	8.28065697287	0.428661249261
28000	0.179091021419	4875.55229461	7.81090690201	0.431394428974
29000	0.178238496184	5045.17014113	7.71275678819	0.435413259182
30000	0.177400678396	4755.9381429	7.3496899958	0.430543138978
31000	0.177315428853	4859.73075379	7.16276323698	0.438346517315
32000	0.176495626569	4317.44864335	7.05583884354	0.442131984999
33000	0.17588570714	3238.40060491	7.0515692422	0.436859134492
34000	0.175262719393	2908.48445544	6.91759995451	0.439793905965
35000	0.174963518977	2797.27623	6.89050810762	0.430873910976
36000	0.174376174808	2534.80735723	6.71246133261	0.435489167313
37000	0.174386262894	3078.13758288	6.7252561824	0.444064257084
38000	0.17449760437	2908.08492565	6.48793187137	0.434156049588
39000	0.173187300563	2099.4937508	6.27820987966	0.431276648116
40000	0.172734871507	2059.67371909	6.2442913456	0.434951435827
41000	0.172261282802	1798.34446714	6.10799744171	0.433913367002
42000	0.171902596951	1543.25859535	5.8864093974	0.427949191467
43000	0.17127405107	1443.25692558	5.83088440913	0.424212091901
44000	0.180828511715	3716.27788469	8.99467114614	0.392147874867
45000	0.177769571543	4092.80619248	7.97771359239	0.421023683584
46000	0.176397800446	4314.96839712	7.40106440764	0.424396541893
47000	0.176018789411	3655.66350088	7.08864564056	0.435864621976
48000	0.174493670464	3662.54989208	6.94865116395	0.43577534152
49000	0.173780724406	3333.81964021	6.82727329294	0.438612398372
50000	0.173334598541	3073.64684828	6.76995045536	0.441524713514
