PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	60.67302586976257	N/A
0	303.162414551	0.0098978812801	-0.00231497653759
1000	0.768147051334	42.818460071	0.134724086054
2000	0.722134590149	106.101725625	0.177838259931
3000	0.692299723625	516.019065338	0.132080408825
4000	0.679533958435	393.747453319	0.0757190375187
5000	0.621149480343	1032.44188994	0.135763991512
6000	0.585604012012	1290.82319036	0.133615117627
7000	0.546191573143	1496.88280791	0.145081314948
8000	0.526888310909	2525.64462998	0.0342943762816
9000	0.456297278404	1922.21215678	0.137326861831
