PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	53.80167262218347	N/A
0	89.8928604126	0.0142170697686	-0.00633379822265
1000	0.741819858551	159.923037374	0.104146719199
2000	0.697944164276	378.477774241	0.0918938951294
3000	0.660292208195	569.945300891	0.130614383783
4000	0.624939382076	796.023539494	0.12282781339
5000	0.587633430958	857.608164732	0.16076199542
6000	0.547060608864	927.931033134	0.177076362064
7000	0.50118470192	818.039458943	0.196744080387
8000	0.448541164398	812.480417749	0.214049090375
9000	0.390387028456	1252.1106157	0.138880996597
