PARAMETERS
Network: unet
Loss: mse_l1
Optimizer: sgd
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	59.2044787182	1.00589203867	0.0912860920243
0	1.07846987247	4.80551276179	0.0218525422042	0.00401862792505
500	0.965905785561	10.1110710828	0.0352628830164	0.00850953082454
1000	0.94626390934	12.9480873	0.0148023791745	0.0104893354959
1500	0.933581113815	14.8049074473	0.02814099341	0.0123308335135
2000	0.923714280128	16.7569613535	0.0422522763439	0.014054486724
2500	0.919292151928	17.2649567645	0.0514550193032	0.014643715468
3000	0.915360152721	17.6814596675	0.0571335899347	0.0151863289752
3500	0.911655604839	18.0250607822	0.0596459158297	0.015678238403
4000	0.907889902592	18.3446843372	0.0606225620553	0.0163048866454
4500	0.904275476933	18.6337151346	0.0600483706449	0.0168821296699
5000	0.900702595711	18.9942519513	0.0593751208993	0.0174833121764
5500	0.89623016119	20.2620593733	0.0649927685432	0.0185878644682
6000	0.893173217773	21.1684037568	0.0688646555782	0.0191687853835
6500	0.890330255032	21.8107918553	0.0711657598717	0.019807524494
7000	0.88718187809	22.6610240906	0.0738708005638	0.0206011714222
7500	0.884337186813	23.5439408005	0.0752957753691	0.0213985807933
8000	0.881609022617	24.4677317497	0.0771271209546	0.0222677626289
8500	0.879241466522	25.3912403336	0.0768853982893	0.0230874357438
9000	0.876889050007	26.417593756	0.0757643661093	0.0239512960321
9500	0.874619841576	27.3977645592	0.0750541691363	0.0248198961663
10000	0.87236303091	28.4969068621	0.075037958759	0.025783738243
