PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	59.204513769958204	N/A
0	151.085601807	0.00750206594139	0.00638394743781
1000	0.744033932686	128.253514725	0.112016099151
2000	0.700839281082	259.374938236	0.116002095145
3000	0.664530158043	409.063126493	0.109436407783
4000	0.626083254814	1383.82110585	0.118797521479
5000	0.590369641781	2400.88959143	0.0843290281458
6000	0.549718618393	2263.10139647	0.105325588659
7000	0.506038069725	1828.92376428	0.097695895197
8000	0.456788182259	2142.09333788	0.105198754055
9000	0.420706659555	3232.41964427	0.0245288896745
