PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	64.39774702429165	N/A
0	94.3030548096	0.0114234507568	0.0106878893886
1000	0.73906826973	249.491590704	0.0681709075652
2000	0.693577289581	537.182880958	0.0958009510732
3000	0.663100302219	744.786484563	0.0468477439158
4000	0.620117485523	1297.52772894	0.0668435661029
5000	0.582023918629	1821.34709086	0.077017203073
6000	0.550084233284	2850.77595609	0.0257822058513
7000	0.497258275747	3227.3407785	0.049230534078
8000	0.444406509399	4176.00263785	0.0545302983865
9000	0.384063899517	4681.06409571	0.0604791097956
