PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	60.289577692927836	N/A
0	175.580810547	0.011575452749	-0.00301292040643
1000	0.772521138191	34.8089893104	0.101979507686
2000	0.723437726498	79.5447747704	0.150189614517
3000	0.686959922314	134.14920291	0.193145337537
4000	0.653735101223	185.739977965	0.221784935167
5000	0.619508862495	251.347766599	0.224283456859
6000	0.582532703876	324.029232412	0.227211507974
7000	0.54274469614	505.054142452	0.133003183056
8000	0.493771523237	534.790476772	0.212678664648
9000	0.439929008484	533.637767528	0.255950708461
