PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	61.840679687662885	N/A
0	352.321258545	0.00610715192631	0.00210475604344
1000	0.77631008625	40.7612070162	0.123487989127
2000	0.730301380157	85.2252482961	0.187638375331
3000	0.69650810957	135.558614508	0.225332102926
4000	0.66387373209	175.517930836	0.282158664777
5000	0.630872249603	202.578004965	0.328134478695
6000	0.596014082432	219.461161568	0.374375943192
7000	0.560681760311	341.718206917	0.262689547421
8000	0.519560098648	324.275493269	0.339794325504
9000	0.473645746708	298.238483584	0.402653757639
