PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	61.377586123912614	N/A
0	127.058662415	0.00849983093979	0.00995596407989
1000	0.740311384201	140.030316419	0.140996643809
2000	0.692899882793	323.918602972	0.1548083362
3000	0.653071165085	528.964284478	0.168607168699
4000	0.617179751396	833.577271406	0.147603156968
5000	0.578838825226	1177.06422764	0.154735010888
6000	0.538577437401	1495.93158229	0.165537260336
7000	0.521233975887	2204.46267019	0.0618141592274
8000	0.447124391794	2571.40172157	0.144634123775
9000	0.391924619675	2693.32227108	0.144918607366
