PARAMETERS
Network: deep_decoder
Loss: mse_with_tv_reg
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 50000

w_h: 1e-06
w_v: 0.0
w_mse: 10.0

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	72.8228263381	2.06322248795	0.0765062465798
0	15.749958992	3.9520580307	0.547674326403	0.0949494634057
1000	0.4953545928	47.6199882381	0.702724597023	0.180137558672
2000	0.329390674829	102.517619904	1.27428615253	0.181618508776
3000	0.275504648685	164.664114416	1.81847044412	0.203887232406
4000	0.247185513377	238.337462105	2.28197988909	0.23873719238
5000	0.228811830282	291.559680748	2.66129453706	0.244035168627
6000	0.214865654707	355.689578277	3.03269221764	0.269986617008
7000	0.203577682376	414.747472295	3.42556680836	0.297643273218
8000	0.19386318326	471.068332008	3.81130794021	0.322857820459
9000	0.185013413429	518.216337565	4.09232962421	0.334337148268
10000	0.176284819841	581.162646189	4.32613933761	0.34175733666
11000	0.167879715562	653.148928886	4.53706497333	0.355519183236
12000	0.160125643015	675.258014666	4.67497027631	0.353602391429
13000	0.153580471873	671.729010808	4.83528567045	0.366761935087
14000	0.149011075497	670.634251541	4.89342438855	0.364621684322
15000	0.146007493138	680.33422382	4.94256338415	0.363316338683
16000	0.144024387002	680.998145965	4.96570425696	0.363225082756
17000	0.142599761486	686.05203405	5.00690958169	0.36051426794
18000	0.141568690538	686.863770945	5.00880723524	0.358570854494
19000	0.140782788396	693.246467289	5.01870156755	0.359328453587
20000	0.140155047178	694.539313424	5.03493653519	0.359110364024
21000	0.139652132988	692.083643495	5.02995077933	0.360588663374
22000	0.139237135649	691.683731147	5.04712374414	0.36296761706
23000	0.13888028264	685.467290863	5.05723315394	0.361974385286
24000	0.138571694493	693.501081761	5.05729119762	0.365645330397
25000	0.138286307454	701.753858132	5.07934719921	0.363076120478
26000	0.138031944633	700.417852998	5.06745409117	0.364703451495
27000	0.137802362442	698.56608785	5.072255507	0.36295619224
28000	0.137615889311	701.174449411	5.08158874663	0.363320848273
29000	0.137462452054	692.862769585	5.08699804794	0.36422043621
30000	0.137293577194	685.564879876	5.08932308868	0.363179587981
31000	0.137115210295	681.496828144	5.09760200873	0.363505169697
32000	0.136982098222	676.024072266	5.07688471317	0.360579585203
33000	0.136847928166	677.752222856	5.09632915709	0.361646393257
34000	0.136722713709	673.172922147	5.1075255896	0.362120931895
35000	0.136603593826	671.888864477	5.09569469087	0.360622616758
36000	0.136494100094	665.523035406	5.09057692588	0.359239232546
37000	0.136370956898	673.675044575	5.12286581125	0.361609535571
38000	0.136279761791	674.01236527	5.12124617843	0.359766427439
39000	0.136199265718	678.10948772	5.13844140741	0.358565616491
40000	0.13610483706	679.331133466	5.14176246042	0.357885314259
41000	0.136059507728	680.239961765	5.11710411548	0.356299456626
42000	0.135963648558	682.930250954	5.13210801045	0.358173330916
43000	0.135900691152	688.278327312	5.12941875682	0.360138970358
44000	0.13583484292	688.418145396	5.11838313132	0.3617847126
45000	0.13578222692	686.475976946	5.10239095548	0.360943329011
46000	0.135737970471	688.61639433	5.12711488491	0.361663467837
47000	0.135674342513	693.604681108	5.10664880063	0.363151996087
48000	0.135621652007	685.468303905	5.0984013991	0.362266891691
49000	0.135572940111	686.133003423	5.09752249993	0.366211882418
50000	0.13552390039	687.236561855	5.1015629702	0.367235639711
