Iteration	CNR	SSIM
input_image	2.0643501731706784	0.08061437291888236
0	0.02228600886928425	0.004395519576711972
1000	0.23817013084695032	0.16309383642240702
2000	1.2517223276068776	0.30905422325486515
3000	8.269694936932915	0.49315947167190993
4000	7.487566881969605	0.4840182789581434
5000	0.7845126986707633	0.2447894575021135
6000	8.359794595178592	0.48814077085167995
7000	7.903564665879659	0.4901532134490968
8000	7.868971174372232	0.49160467037137856
9000	6.8898431083348095	0.48684089530863744
10000	6.845609591307674	0.4847462576880615
11000	6.633207147939195	0.48037443800093477
12000	6.639828120632288	0.47135469193988655
13000	1.4092664273839963	0.26396282788947767
14000	6.880078674314207	0.4883737609453748
15000	6.803494313208085	0.47456707842462187
16000	6.458115102650906	0.4657735364541486
17000	6.319849459766948	0.4505248040692954
18000	6.077512789492054	0.43394968741376194
19000	5.77214896804328	0.404713788399581
20000	5.431037515931539	0.3708720312699631
21000	6.9011561329364595	0.48658249356809846
22000	5.202318330618527	0.3425046909941265
23000	5.006880314691774	0.3308854929427066
24000	4.864907262916382	0.3209229310221673
25000	4.70876856918623	0.3003333198044491
26000	6.550882981509023	0.4741044219872684
27000	4.830470329394617	0.32495054951479796
28000	4.65514238629898	0.2964853889854161
29000	4.617218426810387	0.28765492859792396
30000	4.513065549523411	0.28167370484454735
31000	4.420929801353019	0.26945718403870667
32000	4.338691305235786	0.260497738890708
33000	4.33723633248447	0.2620860861273
34000	0.27946826612869957	0.28921213363634013
35000	7.548037903367773	0.4709065162475261
36000	6.078185318625838	0.39782754432885337
37000	5.532868293414489	0.3273372874490432
38000	4.7752989532449295	0.2887973015752767
39000	4.443029887267746	0.2748127730759284
40000	4.447159634383981	0.25712863756847154
41000	4.3266419385645865	0.2477340643098044
42000	4.231385036377346	0.24616353358734577
43000	4.192042484381545	0.2489802293372024
44000	4.186710121501882	0.23927912696787282
45000	4.1352762860349355	0.24282719165177916
46000	4.083233562334795	0.24375407135520616
47000	4.072578046002713	0.2438420190044839
48000	4.361682739887375	0.3802269712203707
49000	4.31392137203281	0.26024929123755713
50000	4.212934589357638	0.24628937264766254
