PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	60.07491050098968	N/A
0	71.6013183594	0.0137735259993	0.0181616724105
1000	0.739440858364	170.530612563	0.133182208519
2000	0.690681278706	380.158066945	0.154954683754
3000	0.649515628815	701.529197639	0.170643216359
4000	0.609449565411	986.382715504	0.186858485194
5000	0.56924289465	1428.18788711	0.150602611975
6000	0.523025453091	1447.52290832	0.197680061623
7000	0.471936792135	1288.74094557	0.226248277219
8000	0.41706097126	3357.1299611	0.0998045961744
9000	0.352385550737	3439.73415418	0.119318475262
